# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       4.701875534242e+00       6.381421610440e+03       1.083561671175e+00       1.345242928449e-05       9.729792048148e-01       1.308893394805e-05       6.864848766064e+00       1.326792530359e-12       1.519131463923e-04 
       4.809116157918e+00       6.320123723298e+03       1.083323395674e+00       1.396014281563e-05       9.721619617909e-01       1.357151982653e-05       6.975880916535e+00       1.325747986226e-12       1.591535313004e-04 
       4.918195601238e+00       6.259474066059e+03       1.083161217897e+00       1.448716308980e-05       9.713235553656e-01       1.407172275955e-05       7.080246570990e+00       1.320570027178e-12       1.667274451804e-04 
       5.029227755062e+00       6.199420209575e+03       1.083048350425e+00       1.503428719929e-05       9.704627932718e-01       1.459021635027e-05       7.176871202508e+00       1.310679547538e-12       1.746561904893e-04 
       5.142312547009e+00       6.139922154554e+03       1.082965360217e+00       1.560234963940e-05       9.695785791213e-01       1.512770399432e-05       7.264499700877e+00       1.295413031613e-12       1.829612082160e-04 
       5.257545668825e+00       6.080946075703e+03       1.082897355451e+00       1.619224127475e-05       9.686698366484e-01       1.568493571058e-05       7.341683433187e+00       1.274007126729e-12       1.916647653980e-04 
       5.375029297181e+00       6.022458483145e+03       1.082831588067e+00       1.680493759098e-05       9.677354238781e-01       1.626273340286e-05       7.406758511727e+00       1.245576710658e-12       2.007908251379e-04 
       5.494886327451e+00       5.964419614340e+03       1.082755096273e+00       1.744154541735e-05       9.667740165670e-01       1.686203291827e-05       7.457812197233e+00       1.209081931044e-12       2.103663272206e-04 
       5.617282459600e+00       5.906774278374e+03       1.082651887032e+00       1.810338555022e-05       9.657839243809e-01       1.748395874127e-05       7.492630300008e+00       1.163274757893e-12       2.204233057894e-04 
       5.742464510804e+00       5.849436978719e+03       1.082498856431e+00       1.879214705450e-05       9.647627686025e-01       1.812996382028e-05       7.508609535674e+00       1.106603872055e-12       2.310026991298e-04 
       5.870833005102e+00       5.792264688785e+03       1.082258931752e+00       1.951019376867e-05       9.637068671203e-01       1.880210771372e-05       7.502597454390e+00       1.037025311490e-12       2.421617271269e-04 
       6.003093777112e+00       5.735000955931e+03       1.081868102832e+00       2.026123053376e-05       9.626099432694e-01       1.950366197467e-05       7.470564918196e+00       9.515645907379e-13       2.539895109657e-04 
       6.140622612186e+00       5.677142280766e+03       1.081207592167e+00       2.105197598728e-05       9.614600089855e-01       2.024063302189e-05       7.406828552350e+00       8.451078688270e-13       2.666449184782e-04 
       6.286479631772e+00       5.617569289455e+03       1.080032051690e+00       2.189695733488e-05       9.602306647415e-01       2.102612989748e-05       7.301818505108e+00       7.079288576349e-13       2.804627683763e-04 
       6.446794280868e+00       5.554111197632e+03       1.077757218557e+00       2.282292331576e-05       9.588690434813e-01       2.188419464922e-05       7.136671794186e+00       5.467775382530e-13       2.961141269455e-04 
       6.605681318950e+00       5.493199407078e+03       1.073687440209e+00       2.371732687741e-05       9.575109347343e-01       2.270959982779e-05       6.919507936583e+00       3.273282439800e-13       3.120853010681e-04 
       6.796487838488e+00       5.422515646443e+03       1.064278289248e+00       2.470386082976e-05       9.558743280152e-01       2.361378637002e-05       6.573560010093e+00       6.475374519752e-15       3.318116055538e-04 
       7.038689647228e+00       5.336429497697e+03       1.037486096095e+00       2.560144195577e-05       9.538106969625e-01       2.441892919508e-05       5.983382858157e+00      -2.341069126173e-13       3.574353980967e-04 
       7.177383573429e+00       5.288858751997e+03       1.007847652091e+00       2.573565613060e-05       9.526482063486e-01       2.451702665202e-05       5.596430327420e+00      -3.792773446445e-13       3.722348227127e-04 
       7.263887060203e+00       5.259795217031e+03       9.809183151598e-01       2.558074612175e-05       9.519385802581e-01       2.435129914508e-05       5.337113236085e+00      -4.755634949104e-13       3.814025972005e-04 
       7.327729082957e+00       5.238635671019e+03       9.556572365431e-01       2.530853153313e-05       9.514264533257e-01       2.407920639545e-05       5.136671760231e+00      -5.454133940884e-13       3.880835406870e-04 
       7.378788254357e+00       5.221886643861e+03       9.316159862803e-01       2.497531534169e-05       9.510260397268e-01       2.375217524034e-05       4.971088715344e+00      -5.982630699946e-13       3.933458160375e-04 
       7.421598763651e+00       5.207960654734e+03       9.085565319778e-01       2.460665980400e-05       9.506978625257e-01       2.339349887956e-05       4.828933575929e+00      -6.391300270234e-13       3.976846517538e-04 
       7.458628500233e+00       5.196000243089e+03       8.863342845118e-01       2.421637141732e-05       9.504203934338e-01       2.301573324999e-05       4.703787479920e+00      -6.710520319919e-13       4.013716880013e-04 
       7.491373803664e+00       5.185488746745e+03       8.648527571843e-01       2.381275870025e-05       9.501805587124e-01       2.262642036629e-05       4.591650258023e+00      -6.960297038065e-13       4.045726846756e-04 
