# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   65       2.315087578489e-10       3.513856469040e-14      -4.789454696523e-13       0.000000000000e+00       3.131705859962e-11       3.766723118960e-12      -8.463185150626e-15 
   66       2.345269565061e-10       3.672291678437e-14      -5.296996990269e-13       0.000000000000e+00       3.022499345851e-11       3.651344011824e-12      -8.671678056867e-15 
   67       2.375750474935e-10       3.834006803079e-14      -5.821693589039e-13       0.000000000000e+00       2.918163205569e-11       3.540700895124e-12      -8.828520480518e-15 
   68       2.406528530182e-10       3.998893435432e-14      -6.363446320708e-13       0.000000000000e+00       2.818068288993e-11       3.434152622417e-12      -8.942463579845e-15 
   69       2.437615797099e-10       4.166882574951e-14      -6.922077960197e-13       0.000000000000e+00       2.722141084639e-11       3.331656833405e-12      -9.021451949984e-15 
   70       2.469024605433e-10       4.337913655076e-14      -7.497372849008e-13       0.000000000000e+00       2.630403465228e-11       3.233278423119e-12      -9.074097113329e-15 
   71       2.500762430092e-10       4.511923350373e-14      -8.089091479004e-13       0.000000000000e+00       2.542803569411e-11       3.139009047127e-12      -9.110240459352e-15 
   72       2.532831577828e-10       4.688845614769e-14      -8.696970293175e-13       0.000000000000e+00       2.459211989618e-11       3.048763231957e-12      -9.140999176905e-15 
   73       2.565228873919e-10       4.868611719787e-14      -9.320721486409e-13       0.000000000000e+00       2.379417959914e-11       2.962374485509e-12      -9.178812186512e-15 
   74       2.597945348849e-10       5.051150292787e-14      -9.960032806256e-13       0.000000000000e+00       2.303125543846e-11       2.879591407477e-12      -9.237486072669e-15 
   75       2.630965924992e-10       5.236387355199e-14      -1.061456735370e-12       0.000000000000e+00       2.229949822297e-11       2.800073799764e-12      -9.332241016143e-15 
   76       2.664275677256e-10       5.424231234258e-14      -1.128394728691e-12       0.000000000000e+00       2.159512450337e-11       2.723481308861e-12      -9.475298116107e-15 
   77       2.697880625647e-10       5.614524037188e-14      -1.196770194217e-12       0.000000000000e+00       2.091756871872e-11       2.649766612570e-12      -9.661610837196e-15 
   78       2.731790182713e-10       5.807081356460e-14      -1.266530984665e-12       0.000000000000e+00       2.026683927058e-11       2.578928879101e-12      -9.880602984093e-15 
   79       2.766010740320e-10       6.001706343725e-14      -1.337621345535e-12       0.000000000000e+00       1.964255836859e-11       2.510924018203e-12      -1.012035172425e-14 
   80       2.800545491138e-10       6.198189437872e-14      -1.409981862184e-12       0.000000000000e+00       1.904394428541e-11       2.445662689023e-12      -1.036754209278e-14 
   81       2.835394250128e-10       6.396308093084e-14      -1.483549406890e-12       0.000000000000e+00       1.846979361166e-11       2.383008307969e-12      -1.060742149733e-14 
   82       2.870553276030e-10       6.595826506891e-14      -1.558257085921e-12       0.000000000000e+00       1.791846351083e-11       2.322775056567e-12      -1.082375422298e-14 
   83       2.906015092844e-10       6.796495348228e-14      -1.634034186609e-12       0.000000000000e+00       1.738785397424e-11       2.264725889320e-12      -1.099877593709e-14 
   84       2.941772257142e-10       6.998076062773e-14      -1.710814089222e-12       0.000000000000e+00       1.687591825696e-11       2.208629954997e-12      -1.111693000405e-14 
   85       2.977829768598e-10       7.200419014254e-14      -1.788559625581e-12       0.000000000000e+00       1.638233028183e-11       2.154450161597e-12      -1.117688776419e-14 
   86       3.014194399130e-10       7.403397858947e-14      -1.867241846868e-12       0.000000000000e+00       1.590706240622e-11       2.102183197763e-12      -1.118144681452e-14 
   87       3.050870819458e-10       7.606886259208e-14      -1.946832512325e-12       0.000000000000e+00       1.544987308059e-11       2.051801905048e-12      -1.113394417183e-14 
   88       3.087861486914e-10       7.810758024590e-14      -2.027304170189e-12       0.000000000000e+00       1.501029798036e-11       2.003254284322e-12      -1.103827433738e-14 
   89       3.125166533236e-10       8.014887252962e-14      -2.108630238620e-12       0.000000000000e+00       1.458764113789e-11       1.956462502174e-12      -1.089890736165e-14 
   90       3.162783652376e-10       8.219148471629e-14      -2.190785086634e-12       0.000000000000e+00       1.418096607437e-11       1.911321897319e-12      -1.072090690902e-14 
   91       3.200707988300e-10       8.423416778452e-14      -2.273744115033e-12       0.000000000000e+00       1.378908693175e-11       1.867699987003e-12      -1.050994832251e-14 
   92       3.238932022792e-10       8.627567982964e-14      -2.357483837334e-12       0.000000000000e+00       1.341055960468e-11       1.825435473406e-12      -1.027233668847e-14 
   93       3.277448258472e-10       8.831467875062e-14      -2.441973845229e-12       0.000000000000e+00       1.304402439779e-11       1.784377548545e-12      -1.001430856356e-14 
   94       3.316257973150e-10       9.034937878304e-14      -2.527151146872e-12       0.000000000000e+00       1.268931221131e-11       1.744512729224e-12      -9.739777785312e-15 
   95       3.355363580810e-10       9.237784467746e-14      -2.612942100741e-12       0.000000000000e+00       1.234648910381e-11       1.705855349772e-12      -9.452282453634e-15 
   96       3.394765880876e-10       9.439809574073e-14      -2.699270157165e-12       0.000000000000e+00       1.201551560217e-11       1.668408528736e-12      -9.155679181647e-15 
   97       3.434463984377e-10       9.640810575479e-14      -2.786055827849e-12       0.000000000000e+00       1.169624265881e-11       1.632163728456e-12      -8.854151327349e-15 
   98       3.474455240127e-10       9.840580289536e-14      -2.873216655409e-12       0.000000000000e+00       1.138840760900e-11       1.597100314642e-12      -8.552217225275e-15 
   99       3.514735160889e-10       1.003890696508e-13      -2.960667182904e-12       0.000000000000e+00       1.109163012806e-11       1.563185115946e-12      -8.254738418160e-15 
  100       3.555297349552e-10       1.023557427406e-13      -3.048318923365e-12       0.000000000000e+00       1.080540818867e-11       1.530371983546e-12      -7.966927888601e-15 
  101       3.596133425302e-10       1.043036130346e-13      -3.136080329325e-12       0.000000000000e+00       1.052911401807e-11       1.498601350713e-12      -7.694358290724e-15 
  102       3.637232949791e-10       1.062304254713e-13      -3.223856762353e-12       0.000000000000e+00       1.026199005535e-11       1.467799792392e-12      -7.442970181837e-15 
  103       3.678583353315e-10       1.081338789767e-13      -3.311550462584e-12       0.000000000000e+00       1.000314490871e-11       1.437879584779e-12      -7.219080254102e-15 
  104       3.720172604243e-10       1.100117351356e-13      -3.399067095581e-12       0.000000000000e+00       9.751755435001e-12       1.408759143648e-12      -7.027902196188e-15 
  105       3.761997787027e-10       1.118621610981e-13      -3.486336465749e-12       0.000000000000e+00       9.507712775097e-12       1.380428432306e-12      -6.868863988778e-15 
  106       3.804057550718e-10       1.136834330591e-13      -3.573294557228e-12       0.000000000000e+00       9.271056457936e-12       1.352891609361e-12      -6.739670445337e-15 
  107       3.846349426017e-10       1.154738327424e-13      -3.659877247726e-12       0.000000000000e+00       9.041774315063e-12       1.326146730530e-12      -6.637726079750e-15 
  108       3.888869781601e-10       1.172316485147e-13      -3.746020350333e-12       0.000000000000e+00       8.819800702974e-12       1.300185537659e-12      -6.560126993263e-15 
  109       3.931613780434e-10       1.189551764995e-13      -3.831659655326e-12       0.000000000000e+00       8.605014725446e-12       1.274993247729e-12      -6.503652761415e-15 
  110       3.974575336087e-10       1.206427216907e-13      -3.916730971985e-12       0.000000000000e+00       8.397238455875e-12       1.250548341874e-12      -6.464758320980e-15 
  111       4.017747069055e-10       1.222925990669e-13      -4.001170170396e-12       0.000000000000e+00       8.196235159613e-12       1.226822354389e-12      -6.439565856898e-15 
  112       4.061120263078e-10       1.239031347045e-13      -4.084913223264e-12       0.000000000000e+00       8.001707516301e-12       1.203779661747e-12      -6.423856689219e-15 
  113       4.104684821451e-10       1.254726668923e-13      -4.167896247720e-12       0.000000000000e+00       7.813295842211e-12       1.181377271612e-12      -6.413063160034e-15 
  114       4.148429223352e-10       1.269995472448e-13      -4.250055547135e-12       0.000000000000e+00       7.630576312575e-12       1.159564611846e-12      -6.402260520416e-15 
  115       4.192340480150e-10       1.284821418164e-13      -4.331327652923e-12       0.000000000000e+00       7.453059183927e-12       1.138283319529e-12      -6.386158817355e-15 
  116       4.236405968167e-10       1.299188605620e-13      -4.411647815781e-12       0.000000000000e+00       7.280296172990e-12       1.117480527027e-12      -6.360193531476e-15 
  117       4.280619273123e-10       1.313082474034e-13      -4.490945181895e-12       0.000000000000e+00       7.112221204757e-12       1.097151003845e-12      -6.323965268158e-15 
  118       4.324974977542e-10       1.326489032560e-13      -4.569147106029e-12       0.000000000000e+00       6.948847947603e-12       1.077299766077e-12      -6.278204979511e-15 
  119       4.369466821097e-10       1.339394600112e-13      -4.646180677421e-12       0.000000000000e+00       6.790163559964e-12       1.057928947143e-12      -6.223714217616e-15 
  120       4.414087673522e-10       1.351785819004e-13      -4.721972747884e-12       0.000000000000e+00       6.636127877804e-12       1.039037706145e-12      -6.161366736317e-15 
  121       4.458829507517e-10       1.363649668602e-13      -4.796449959900e-12       0.000000000000e+00       6.486672602085e-12       1.020622136210e-12      -6.092110093021e-15 
  122       4.503683371658e-10       1.374973478961e-13      -4.869538774725e-12       0.000000000000e+00       6.341700486239e-12       1.002675172846e-12      -6.016967250498e-15 
  123       4.548639363306e-10       1.385744944475e-13      -4.941165500487e-12       0.000000000000e+00       6.201084523632e-12       9.851865022904e-13      -5.937038178677e-15 
  124       4.593686601514e-10       1.395952137521e-13      -5.011256320283e-12       0.000000000000e+00       6.064667135037e-12       9.681424698576e-13      -5.853501456443e-15 
  125       4.638813199939e-10       1.405583522101e-13      -5.079737320285e-12       0.000000000000e+00       5.932259356101e-12       9.515259882928e-13      -5.767615873440e-15 
  126       4.684006239747e-10       1.414627967489e-13      -5.146534517832e-12       0.000000000000e+00       5.803640024817e-12       9.353164461203e-13      -5.680722031861e-15 
  127       4.729251742524e-10       1.423074761876e-13      -5.211573889536e-12       0.000000000000e+00       5.678554968990e-12       9.194896159943e-13      -5.594243948255e-15 
