# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.791459723301e-02       1.604347672597e+04 
       3.809325584033e-02       1.597001439889e+04 
       3.827330662543e-02       1.589659000040e+04 
       3.845479876067e-02       1.582320149343e+04 
       3.863778375044e-02       1.574984672464e+04 
       3.882231557707e-02       1.567652317047e+04 
       3.900845085823e-02       1.560322791923e+04 
       3.919624901689e-02       1.552995798848e+04 
       3.938577246519e-02       1.545671004380e+04 
       3.957708680330e-02       1.538348026388e+04 
       3.977026103511e-02       1.531026470531e+04 
       3.996536780216e-02       1.523705894743e+04 
       4.016248363788e-02       1.516385824448e+04 
       4.036168924416e-02       1.509065751986e+04 
       4.056306979265e-02       1.501745125642e+04 
       4.076671525351e-02       1.494423356756e+04 
       4.097272075455e-02       1.487099808686e+04 
       4.118118697419e-02       1.479773802023e+04 
       4.139222057213e-02       1.472444608729e+04 
       4.160593466204e-02       1.465111448033e+04 
       4.182244933127e-02       1.457773485225e+04 
       4.204189221316e-02       1.450429830194e+04 
       4.226439911853e-02       1.443079529786e+04 
       4.249011473356e-02       1.435721566103e+04 
       4.271919339260e-02       1.428354850600e+04 
       4.295179993567e-02       1.420978219566e+04 
       4.318811066172e-02       1.413590431096e+04 
       4.342831439070e-02       1.406190153812e+04 
       4.367261364939e-02       1.398775962477e+04 
       4.392122599832e-02       1.391346333420e+04 
       4.417438552028e-02       1.383899630634e+04 
       4.443234449389e-02       1.376434098404e+04 
       4.469537528017e-02       1.368947850344e+04 
       4.496377245480e-02       1.361438858060e+04 
       4.523785522465e-02       1.353904934642e+04 
       4.551797017416e-02       1.346343718204e+04 
       4.580449439609e-02       1.338752659494e+04 
       4.609783907113e-02       1.331128991112e+04 
       4.639845357413e-02       1.323469711151e+04 
       4.670683019993e-02       1.315771549569e+04 
       4.702350962131e-02       1.308030939394e+04 
       4.734908721520e-02       1.300243972492e+04 
       4.768422042298e-02       1.292406360783e+04 
       4.802963734713e-02       1.284513374244e+04 
       4.838614683290e-02       1.276559781842e+04 
       4.875465034110e-02       1.268539770547e+04 
       4.913615599114e-02       1.260446852777e+04 
       4.953179524557e-02       1.252273749011e+04 
       4.994284282432e-02       1.244012248171e+04 
       5.037074058588e-02       1.235653031247e+04 
       5.081712630232e-02       1.227185451638e+04 
       5.128386849706e-02       1.218597257264e+04 
       5.177310882194e-02       1.209874238169e+04 
       5.228731383975e-02       1.200999765861e+04 
       5.282933856588e-02       1.191954206109e+04 
       5.340250472307e-02       1.182714130785e+04 
       5.401069737683e-02       1.173251276082e+04 
       5.465848441852e-02       1.163531141547e+04 
       5.535126414954e-02       1.153511082777e+04 
       5.609544674865e-02       1.143137682314e+04 
       5.689867513429e-02       1.132343119883e+04 
       5.777008855050e-02       1.121040108166e+04 
       5.872062593174e-02       1.109114826468e+04 
       5.976335171417e-02       1.096417150654e+04 
       6.091375738005e-02       1.082747376006e+04 
       6.218993738188e-02       1.067838975720e+04 
       6.361244715701e-02       1.051338166532e+04 
       6.520352461281e-02       1.032784371093e+04 
       6.698524255091e-02       1.011602569353e+04 
       6.897621284788e-02       9.871291656742e+03 
       7.118696538218e-02       9.587018564901e+03 
       7.361525132677e-02       9.258340368626e+03 
       7.624371370668e-02       8.884464140998e+03 
       7.904209516917e-02       8.470583511419e+03 
       8.197359112027e-02       8.028208486743e+03 
       8.500216486271e-02       7.573518025134e+03 
       8.809755853441e-02       7.124475047903e+03 
       9.123701328373e-02       6.697885059299e+03 
       9.440466872519e-02       6.307223662493e+03 
       9.759002164088e-02       5.961489326477e+03 
       1.007863424932e-01       5.664959087863e+03 
       1.039894087132e-01       5.417574631335e+03 
       1.071966049410e-01       5.215679732229e+03 
       1.104063241088e-01       5.052896359150e+03 
       1.136175834293e-01       4.921015978925e+03 
       1.168297835608e-01       4.810860633666e+03 
       1.200425595493e-01       4.713111208093e+03 
       1.232556893013e-01       4.619100956779e+03 
       1.264690376518e-01       4.521542400164e+03 
       1.296825222818e-01       4.415118348950e+03 
       1.328960929851e-01       4.296851068831e+03 
       1.361097190696e-01       4.166182088060e+03 
       1.393233817044e-01       4.024746832433e+03 
       1.425370692730e-01       3.875891631159e+03 
       1.457507745524e-01       3.724030834835e+03 
       1.489644929990e-01       3.573961055797e+03 
       1.521782217078e-01       3.430238246894e+03 
       1.553919587798e-01       3.296689801872e+03 
       1.586057029368e-01       3.176096420703e+03 
       1.618194532872e-01       3.070043683560e+03 
       1.650332091822e-01       2.978920522412e+03 
       1.682469701286e-01       2.902030062944e+03 
       1.714607357349e-01       2.837776456834e+03 
       1.746745056775e-01       2.783896616258e+03 
       1.778882796806e-01       2.737713250342e+03 
       1.811020575025e-01       2.696392297861e+03 
       1.843158389273e-01       2.657506961770e+03 
       1.875296237595e-01       2.618586649536e+03 
       1.907434118200e-01       2.577350696465e+03 
       1.939572029439e-01       2.532434036262e+03 
       1.971709969781e-01       2.483221628397e+03 
       2.003847937805e-01       2.429861372590e+03 
       2.035985932180e-01       2.373165335017e+03 
       2.068123951666e-01       2.314416015435e+03 
       2.100261995097e-01       2.255125236915e+03 
       2.132400061381e-01       2.196803873992e+03 
       2.164538149493e-01       2.140787630834e+03 
       2.196676258465e-01       2.088135650012e+03 
       2.228814387390e-01       2.039591577710e+03 
       2.260952535410e-01       1.995582239478e+03 
       2.293090701717e-01       1.956230652022e+03 
       2.325228885546e-01       1.921372523824e+03 
       2.357367086177e-01       1.890579126678e+03 
       2.389505302927e-01       1.863196697302e+03 
       2.421643535150e-01       1.838410262165e+03 
       2.453781782233e-01       1.815330320159e+03 
       2.485920043598e-01       1.793089876408e+03 
       2.518058318694e-01       1.770933064158e+03 
       2.550196606997e-01       1.748278405230e+03 
       2.582334908013e-01       1.724748837264e+03 
       2.614473221270e-01       1.700171619921e+03 
       2.646611546318e-01       1.674558849887e+03 
       2.678749882731e-01       1.648079629002e+03 
       2.710888230103e-01       1.621029629330e+03 
       2.743026588045e-01       1.593797333419e+03 
       2.775164956189e-01       1.566823345483e+03 
       2.807303334182e-01       1.540551696569e+03 
       2.839441721688e-01       1.515377827586e+03 
       2.871580118386e-01       1.491602974847e+03 
       2.903718523969e-01       1.469405085535e+03 
       2.935856938143e-01       1.448832197777e+03 
       2.967995360628e-01       1.429816991402e+03 
       3.000133791155e-01       1.412204971127e+03 
       3.032272229468e-01       1.395786202723e+03 
       3.064410675319e-01       1.380322426766e+03 
       3.096549128474e-01       1.365566428363e+03 
       3.128687588706e-01       1.351275605416e+03 
       3.160826055798e-01       1.337224253698e+03 
       3.192964529541e-01       1.323217992206e+03 
       3.225103009736e-01       1.309109998542e+03 
       3.257241496192e-01       1.294815012504e+03 
       3.289379988723e-01       1.280315572146e+03 
       3.321518487152e-01       1.265657048843e+03 
       3.353656991310e-01       1.250932113874e+03 
       3.385795501032e-01       1.236259550832e+03 
       3.417934016160e-01       1.221763744605e+03 
       3.450072536543e-01       1.207559866545e+03 
       3.482211062034e-01       1.193746140019e+03 
       3.514349592493e-01       1.180401100382e+03 
       3.546488127784e-01       1.167582313439e+03 
       3.578626667777e-01       1.155323860267e+03 
       3.610765212344e-01       1.143632506399e+03 
       3.642903761365e-01       1.132484773160e+03 
       3.675042314723e-01       1.121827883176e+03 
       3.707180872303e-01       1.111586298774e+03 
       3.739319433998e-01       1.101673034126e+03 
       3.771457999700e-01       1.092002624958e+03 
       3.803596569308e-01       1.082501859564e+03 
       3.835735142723e-01       1.073115533742e+03 
       3.867873719851e-01       1.063806835644e+03 
       3.900012300598e-01       1.054554284841e+03 
       3.932150884877e-01       1.045348111540e+03 
       3.964289472600e-01       1.036188230202e+03 
       3.996428063684e-01       1.027084141192e+03 
       4.028566658049e-01       1.018055368252e+03 
       4.060705255616e-01       1.009130438304e+03 
       4.092843856309e-01       1.000343241371e+03 
       4.124982460055e-01       9.917272370957e+02 
       4.157121066784e-01       9.833094150841e+02 
       4.189259676426e-01       9.751062545689e+02 
       4.221398288914e-01       9.671230169243e+02 
