# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.139222056075e-02       1.472447518988e+04 
       4.160593465052e-02       1.465114343625e+04 
       4.182244931959e-02       1.457776366138e+04 
       4.204189220132e-02       1.450432696418e+04 
       4.226439910653e-02       1.443082381307e+04 
       4.249011472138e-02       1.435724402905e+04 
       4.271919338023e-02       1.428357672665e+04 
       4.295179992311e-02       1.420981026875e+04 
       4.318811064895e-02       1.413593223624e+04 
       4.342831437773e-02       1.406192931534e+04 
       4.367261363618e-02       1.398778725366e+04 
       4.392122598488e-02       1.391349081445e+04 
       4.417438550659e-02       1.383902363760e+04 
       4.443234447993e-02       1.376436816593e+04 
       4.469537526593e-02       1.368950553555e+04 
       4.496377244027e-02       1.361441546246e+04 
       4.523785520981e-02       1.353907607754e+04 
       4.551797015899e-02       1.346346376187e+04 
       4.580449438056e-02       1.338755302289e+04 
       4.609783905523e-02       1.331131618654e+04 
       4.639845355783e-02       1.323472323368e+04 
       4.670683018320e-02       1.315774146385e+04 
       4.702350960411e-02       1.308033520724e+04 
       4.734908719751e-02       1.300246538245e+04 
       4.768422040476e-02       1.292408910856e+04 
       4.802963732834e-02       1.284515908530e+04 
       4.838614681349e-02       1.276562300220e+04 
       4.875465032102e-02       1.268542272887e+04 
       4.913615597033e-02       1.260449338934e+04 
       4.953179522397e-02       1.252276218827e+04 
       4.994284280186e-02       1.244014701473e+04 
       5.037074056248e-02       1.235655467842e+04 
       5.081712627788e-02       1.227187871315e+04 
       5.128386847147e-02       1.218599659785e+04 
       5.177310879509e-02       1.209876623272e+04 
       5.228731381149e-02       1.201002133249e+04 
       5.282933853604e-02       1.191956555450e+04 
       5.340250469147e-02       1.182716461700e+04 
       5.401069734323e-02       1.173253588137e+04 
       5.465848438266e-02       1.163533434244e+04 
       5.535126411111e-02       1.153513355534e+04 
       5.609544670728e-02       1.143139934447e+04 
       5.689867508952e-02       1.132345350578e+04 
       5.777008850180e-02       1.121042316439e+04 
       5.872062587847e-02       1.109117011116e+04 
       5.976335165557e-02       1.096419310183e+04 
       6.091375731522e-02       1.082749508531e+04 
       6.218993730979e-02       1.067841078836e+04 
       6.361244707649e-02       1.051340237133e+04 
       6.520352452266e-02       1.032786405156e+04 
       6.698524244999e-02       1.011604561696e+04 
       6.897621273538e-02       9.871311097513e+03 
       7.118696525784e-02       9.587037443618e+03 
       7.361525119110e-02       9.258358595002e+03 
       7.624371356101e-02       8.884481621738e+03 
       7.904209501535e-02       8.470600162259e+03 
       8.197359096033e-02       8.028224245674e+03 
       8.500216469844e-02       7.573532862639e+03 
       8.809755836724e-02       7.124488971396e+03 
       9.123701311468e-02       6.697898111417e+03 
       9.440466855494e-02       6.307235914632e+03 
       9.759002146990e-02       5.961500869713e+03 
       1.007863423218e-01       5.664970023183e+03 
       1.039894085415e-01       5.417585060563e+03 
       1.071966047691e-01       5.215689750408e+03 
       1.104063239368e-01       5.052906048673e+03 
       1.136175832572e-01       4.921025405455e+03 
       1.168297833887e-01       4.810869843788e+03 
       1.200425593771e-01       4.713120228642e+03 
