# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.045e-06 to 1.08254 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.616488036861e-03      -1.052719472209e-01      -5.926206441496e+01      -5.927560119593e+01      -8.417331991742e-02      -5.925612739312e+01       4.509169411110e-01       4.509174434467e-01 
       2.729051933562e-03      -5.983554565259e-02      -6.429552476510e+01      -6.431042855817e+01      -4.405589779531e-02      -6.428925195468e+01       4.496920025147e-01       4.496925823898e-01 
       2.842757943009e-03      -5.116863882769e-02      -6.957137024831e+01      -6.958778090962e+01      -4.177102174754e-02      -6.956481957480e+01       4.484457659693e-01       4.484462660068e-01 
       2.957505363353e-03      -7.476172566958e-02      -7.508841088098e+01      -7.510647480744e+01      -6.679143105693e-02      -7.508164409953e+01       4.471800428914e-01       4.471803782026e-01 
       3.073203118674e-03      -9.334828331763e-02      -8.084521642531e+01      -8.086508309228e+01      -8.035734860142e-02      -8.083828718845e+01       4.458964739598e-01       4.458967017847e-01 
       3.189768949431e-03      -7.742611889611e-02      -8.684015678985e+01      -8.686197561461e+01      -5.955103288706e-02      -8.683311130607e+01       4.445966100264e-01       4.445969153439e-01 
       3.307128618339e-03      -3.623180451300e-02      -9.307143588238e+01      -9.309535382970e+01      -5.454489068286e-02      -9.306432644381e+01       4.432819810623e-01       4.432824093943e-01 
       3.425215151497e-03      -5.161382934372e-03      -9.953712012211e+01      -9.956328037200e+01      -1.157074054678e-01      -9.953000858394e+01       4.419540593359e-01       4.419544744875e-01 
       3.543968126736e-03      -4.467050414571e-03      -1.062351616036e+02      -1.062637034998e+02      -2.114647765215e-01      -1.062281069047e+02       4.406141529897e-01       4.406144659242e-01 
       3.663333015471e-03      -1.698967582151e-02      -1.131634176798e+02      -1.131944779884e+02      -2.776584080656e-01      -1.131564665265e+02       4.392634212982e-01       4.392636539237e-01 
       3.783260580357e-03      -1.077316777733e-02      -1.203196667399e+02      -1.203533820948e+02      -2.836606286612e-01      -1.203128571535e+02       4.379029350279e-01       4.379031738355e-01 
       3.903706328331e-03       2.038817522148e-02      -1.277016218536e+02      -1.277381320945e+02      -2.552025510085e-01      -1.276949972490e+02       4.365337242408e-01       4.365340232562e-01 
       4.024630016926e-03       4.735887900911e-02      -1.353069425408e+02      -1.353463945362e+02      -2.422902117892e-01      -1.353005640230e+02       4.351567748064e-01       4.351571061966e-01 
       4.145995210649e-03       3.969841281447e-02      -1.431332452441e+02      -1.431757967587e+02      -2.685268934696e-01      -1.431271919449e+02       4.337729897788e-01       4.337732838158e-01 
       4.267768883690e-03       3.331449692809e-03      -1.511781123768e+02      -1.512239355483e+02      -3.114532262469e-01      -1.511724725582e+02       4.323831641335e-01       4.323833870432e-01 
       4.389921064983e-03      -2.398296930227e-02      -1.594391008466e+02      -1.594883848775e+02      -3.309776227656e-01      -1.594339665391e+02       4.309880058406e-01       4.309881905863e-01 
       4.512424521660e-03      -1.549310477590e-02      -1.679137490231e+02      -1.679667018246e+02      -3.140372694554e-01      -1.679092225771e+02       4.295881801529e-01       4.295883830297e-01 
       4.635254477046e-03       1.390213933352e-02      -1.765995839251e+02      -1.766564325190e+02      -2.873687950832e-01      -1.765957903637e+02       4.281843362538e-01       4.281845739187e-01 
       4.758388359611e-03       2.013024013200e-01      -1.854941286060e+02      -1.855551182732e+02       2.050797818619e-01      -1.854911305421e+02       4.267770174860e-01       4.267770174860e-01 
       4.881805579536e-03       2.006368167478e-01      -1.945949052935e+02      -1.946602977106e+02       2.044017158699e-01      -1.945929551553e+02       4.253669319672e-01       4.253669319672e-01 
       5.005487329843e-03       1.999701246715e-01      -2.038994396750e+02      -2.039695101614e+02       2.037225214084e-01      -2.038987102790e+02       4.239544976086e-01       4.239544976086e-01 
       5.129416409351e-03       1.993025514637e-01      -2.134052630444e+02      -2.134802974709e+02       2.030424290624e-01      -2.134059368484e+02       4.225401869474e-01       4.225401869474e-01 
       5.253577064974e-03       1.986343095791e-01      -2.231099179203e+02      -2.231902094542e+02       2.023616552500e-01      -2.231121842697e+02       4.211244433868e-01       4.211244433868e-01 
       5.377954851167e-03       1.979655801203e-01      -2.330109384094e+02      -2.330967850411e+02       2.016803844626e-01      -2.330149914495e+02       4.197076449214e-01       4.197076449214e-01 
       5.502536504538e-03       1.972965609646e-01      -2.431059057375e+02      -2.431976075954e+02       2.009988182927e-01      -2.431119421305e+02       4.182902063808e-01       4.182902063808e-01 
       5.627309831914e-03       1.966274198663e-01      -2.533923947387e+02      -2.534902533393e+02       2.003171276496e-01      -2.534006130321e+02       4.168724798094e-01       4.168724798094e-01 
       5.752263610292e-03       1.959583126769e-01      -2.638679926631e+02      -2.639723109462e+02       1.996354713148e-01      -2.638785933157e+02       4.154547925670e-01       4.154547925670e-01 
       5.877387497336e-03       1.952893827892e-01      -2.745302972407e+02      -2.746413808139e+02       1.989539953728e-01      -2.745434836712e+02       4.140374462105e-01       4.140374462105e-01 
       6.002671951213e-03       1.946207628149e-01      -2.853769170731e+02      -2.854950764364e+02       1.982728349136e-01      -2.853928975368e+02       4.126207192730e-01       4.126207192730e-01 
       6.128108158709e-03       1.939525732322e-01      -2.964054684900e+02      -2.965310220991e+02       1.975921126574e-01      -2.964244586651e+02       4.112048648014e-01       4.112048648014e-01 
       6.253687970694e-03       1.932849255859e-01      -3.076135788795e+02      -3.077468564774e+02       1.969119422144e-01      -3.076358046793e+02       4.097901168858e-01       4.097901168858e-01 
       6.379403844121e-03       1.926179224519e-01      -3.189988859167e+02      -3.191402319018e+02       1.962324280502e-01      -3.190245863327e+02       4.083766905803e-01       4.083766905803e-01 
       6.505248789819e-03       1.919516569625e-01      -3.305590366611e+02      -3.307088130600e+02       1.955536650103e-01      -3.305884662724e+02       4.069647815447e-01       4.069647815447e-01 
       6.631216325461e-03       1.912862153509e-01      -3.422916913290e+02      -3.424502799609e+02       1.948757409128e-01      -3.423251221276e+02       4.055545711809e-01       4.055545711809e-01 
       6.757300433128e-03       1.906216760993e-01      -3.541945223535e+02      -3.543623260462e+02       1.941987356885e-01      -3.542322447681e+02       4.041462253932e-01       4.041462253932e-01 
