# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:gr.fac. D_wCDM         6:gr.fac. D          
       4.807348336289e+13       3.270578988706e-25       9.640643838793e-09       4.986217709743e+21       2.080148826436e-14       2.323853354488e-17 
       4.773930820545e+13       3.316527352918e-25       9.707946446724e-09       4.917136854081e+21       2.094709868221e-14       2.356501170265e-17 
       4.740745601335e+13       3.363121245699e-25       9.777068044059e-09       4.849013069470e+21       2.109372837299e-14       2.389607655205e-17 
       4.707791063888e+13       3.410369736079e-25       9.844370651990e-09       4.781833096301e+21       2.124138447160e-14       2.423179253152e-17 
       4.675065604656e+13       3.458282020501e-25       9.913492249325e-09       4.715583858672e+21       2.139007416290e-14       2.457222498479e-17 
       4.642567631237e+13       3.506867424606e-25       9.982613846660e-09       4.650252461837e+21       2.153980468204e-14       2.491744017359e-17 
       4.610295562301e+13       3.556135405054e-25       1.005355443340e-08       4.585826189699e+21       2.169058331481e-14       2.526750529058e-17 
       4.578247827508e+13       3.606095551359e-25       1.012449502014e-08       4.522292502335e+21       2.184241739802e-14       2.562248847240e-17 
       4.546422867436e+13       3.656757587760e-25       1.019543560687e-08       4.459639033553e+21       2.199531431980e-14       2.598245881294e-17 
       4.514819133502e+13       3.708131375110e-25       1.026637619361e-08       4.397853588490e+21       2.214928152004e-14       2.634748637679e-17 
       4.483435087887e+13       3.760226912798e-25       1.033731678035e-08       4.336924141231e+21       2.230432649068e-14       2.671764221289e-17 
       4.452269203462e+13       3.813054340695e-25       1.041007635649e-08       4.276838832474e+21       2.246045677612e-14       2.709299836833e-17 
       4.421319963716e+13       3.866623941127e-25       1.048283593263e-08       4.217585967222e+21       2.261767997355e-14       2.747362790240e-17 
       4.390585862678e+13       3.920946140875e-25       1.055559550878e-08       4.159154012502e+21       2.277600373336e-14       2.785960490079e-17 
       4.360065404844e+13       3.976031513208e-25       1.063017407432e-08       4.101531595123e+21       2.293543575950e-14       2.825100449003e-17 
       4.329757105108e+13       4.031890779936e-25       1.070475263987e-08       4.044707499464e+21       2.309598380981e-14       2.864790285210e-17 
       4.299659488687e+13       4.088534813503e-25       1.077933120541e-08       3.988670665288e+21       2.325765569648e-14       2.905037723926e-17 
       4.269771091050e+13       4.145974639097e-25       1.085572876036e-08       3.933410185592e+21       2.342045928636e-14       2.945850598908e-17 
       4.240090457845e+13       4.204221436801e-25       1.093030732591e-08       3.878915304481e+21       2.358440250136e-14       2.987236853971e-17 
       4.210616144831e+13       4.263286543766e-25       1.100852387026e-08       3.825175415075e+21       2.374949331887e-14       3.029204544531e-17 
       4.181346717806e+13       4.323181456418e-25       1.108492142521e-08       3.772180057449e+21       2.391573977210e-14       3.071761839176e-17 
       4.152280752539e+13       4.383917832699e-25       1.116313796956e-08       3.719918916591e+21       2.408314995051e-14       3.114917021254e-17 
       4.123416834696e+13       4.445507494330e-25       1.123953552451e-08       3.668381820397e+21       2.425173200016e-14       3.158678490484e-17 
       4.094753559777e+13       4.507962429117e-25       1.131957105827e-08       3.617558737693e+21       2.442149412416e-14       3.203054764596e-17 
       4.066289533046e+13       4.571294793283e-25       1.139778760262e-08       3.567439776277e+21       2.459244458303e-14       3.248054480982e-17 
       4.038023369460e+13       4.635516913832e-25       1.147782313637e-08       3.518015181000e+21       2.476459169511e-14       3.293686398384e-17 
       4.009953693604e+13       4.700641290954e-25       1.155785867013e-08       3.469275331864e+21       2.493794383698e-14       3.339959398594e-17 
       3.982079139627e+13       4.766680600450e-25       1.163971319329e-08       3.421210742148e+21       2.511250944384e-14       3.386882488183e-17 
       3.954398351169e+13       4.833647696205e-25       1.172156771645e-08       3.373812056567e+21       2.528829700995e-14       3.434464800258e-17 
       3.926909981300e+13       4.901555612688e-25       1.180342223961e-08       3.327070049443e+21       2.546531508902e-14       3.482715596236e-17 
       3.899612692453e+13       4.970417567489e-25       1.188527676277e-08       3.280975622918e+21       2.564357229464e-14       3.531644267646e-17 
       3.872505156358e+13       5.040246963894e-25       1.196895027533e-08       3.235519805176e+21       2.582307730070e-14       3.581260337960e-17 
       3.845586053980e+13       5.111057393489e-25       1.205262378789e-08       3.190693748701e+21       2.600383884181e-14       3.631573464447e-17 
       3.818854075452e+13       5.182862638809e-25       1.213629730046e-08       3.146488728555e+21       2.618586571370e-14       3.682593440047e-17 
       3.792307920012e+13       5.255676676021e-25       1.222178980242e-08       3.102896140675e+21       2.636916677369e-14       3.734330195285e-17 
       3.765946295940e+13       5.329513677641e-25       1.230728230439e-08       3.059907500206e+21       2.655375094111e-14       3.786793800197e-17 
       3.739767920497e+13       5.404388015297e-25       1.239277480636e-08       3.017514439841e+21       2.673962719770e-14       3.839994466294e-17 
       3.713771519858e+13       5.480314262523e-25       1.248008629773e-08       2.975708708201e+21       2.692680458808e-14       3.893942548549e-17 
       3.687955829054e+13       5.557307197596e-25       1.256739778910e-08       2.934482168221e+21       2.711529222020e-14       3.948648547412e-17 
       3.662319591911e+13       5.635381806414e-25       1.265652826987e-08       2.893826795571e+21       2.730509926574e-14       4.004123110853e-17 
       3.636861560984e+13       5.714553285411e-25       1.274383976124e-08       2.853734677093e+21       2.749623496060e-14       4.060377036435e-17 
       3.611580497502e+13       5.794837044517e-25       1.283297024202e-08       2.814198009262e+21       2.768870860532e-14       4.117421273418e-17 
       3.586475171303e+13       5.876248710154e-25       1.292391971219e-08       2.775209096664e+21       2.788252956556e-14       4.175266924887e-17 
       3.561544360777e+13       5.958804128281e-25       1.301305019297e-08       2.736760350500e+21       2.807770727252e-14       4.233925249913e-17 
       3.536786852807e+13       6.042519367478e-25       1.310399966314e-08       2.698844287112e+21       2.827425122343e-14       4.293407665747e-17 
       3.512201442708e+13       6.127410722071e-25       1.319676812273e-08       2.661453526519e+21       2.847217098199e-14       4.353725750041e-17 
       3.487786934169e+13       6.213494715304e-25       1.328953658231e-08       2.624580790987e+21       2.867147617887e-14       4.414891243101e-17 
       3.463542139195e+13       6.300788102558e-25       1.338230504189e-08       2.588218903611e+21       2.887217651212e-14       4.476916050173e-17 
       3.439465878049e+13       6.389307874609e-25       1.347507350147e-08       2.552360786916e+21       2.907428174770e-14       4.539812243760e-17 
       3.415556979194e+13       6.479071260938e-25       1.356966095045e-08       2.516999461483e+21       2.927780171994e-14       4.603592065970e-17 
       3.391814279240e+13       6.570095733082e-25       1.366424839944e-08       2.482128044585e+21       2.948274633198e-14       4.668267930903e-17 
       3.368236622879e+13       6.662399008034e-25       1.376065483782e-08       2.447739748855e+21       2.968912555630e-14       4.733852427062e-17 
       3.344822862839e+13       6.755999051697e-25       1.385706127621e-08       2.413827880956e+21       2.989694943520e-14       4.800358319807e-17 
       3.321571859821e+13       6.850914082372e-25       1.395346771460e-08       2.380385840287e+21       3.010622808124e-14       4.867798553840e-17 
       3.298482482444e+13       6.947162574314e-25       1.405169314239e-08       2.347407117691e+21       3.031697167781e-14       4.936186255720e-17 
       3.275553607193e+13       7.044763261319e-25       1.414991857018e-08       2.314885294194e+21       3.052919047956e-14       5.005534736424e-17 
