# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   67       2.377985435075e-10       3.851868056680e-14      -5.826528406085e-13       1.910352429049e-16       2.918163205569e-11       3.540700895124e-12      -8.828520480518e-15 
   68       2.408810964401e-10       4.017221774544e-14      -6.368193058275e-13       1.967910466173e-16       2.818068288993e-11       3.434152622417e-12      -8.942463579845e-15 
   69       2.439945504077e-10       4.185679661536e-14      -6.926710846531e-13       2.026320544635e-16       2.722141084639e-11       3.331656833405e-12      -9.021451949984e-15 
   70       2.471401336060e-10       4.357181012195e-14      -7.501864680862e-13       2.085585814750e-16       2.630403465228e-11       3.233278423119e-12      -9.074097113329e-15 
   71       2.503185885194e-10       4.531662373048e-14      -8.093413598020e-13       2.145709842429e-16       2.542803569411e-11       3.139009047127e-12      -9.110240459352e-15 
   72       2.535301405821e-10       4.709057581426e-14      -8.701092562673e-13       2.206696625374e-16       2.459211989618e-11       3.048763231957e-12      -9.140999176905e-15 
   73       2.567744668383e-10       4.889297804289e-14      -9.324612268592e-13       2.268550609282e-16       2.379417959914e-11       2.962374485509e-12      -9.178812186512e-15 
   74       2.600506646029e-10       5.072311577042e-14      -9.963658939825e-13       2.331276704043e-16       2.303125543846e-11       2.879591407477e-12      -9.237486072669e-15 
   75       2.633572201224e-10       5.258024842355e-14      -1.061789413188e-12       2.394880299936e-16       2.229949822297e-11       2.800073799764e-12      -9.332241016143e-15 
   76       2.666926350932e-10       5.446345853570e-14      -1.128693838981e-12       2.459366297957e-16       2.159512450337e-11       2.723481308861e-12      -9.475298116107e-15 
   77       2.700575073931e-10       5.637116620878e-14      -1.197031922152e-12       2.524735960835e-16       2.091756871872e-11       2.649766612570e-12      -9.661610837196e-15 
   78       2.734527746072e-10       5.830152640511e-14      -1.266751323188e-12       2.590989514545e-16       2.026683927058e-11       2.578928879101e-12      -9.880602984093e-15 
   79       2.768790722693e-10       6.025256977526e-14      -1.337796090283e-12       2.658127079289e-16       1.964255836859e-11       2.510924018203e-12      -1.012035172425e-14 
   80       2.803367160128e-10       6.222219994263e-14      -1.410106606358e-12       2.726148665482e-16       1.904394428541e-11       2.445662689023e-12      -1.036754209278e-14 
   81       2.838256837212e-10       6.420819078800e-14      -1.483619536073e-12       2.795054169729e-16       1.846979361166e-11       2.383008307969e-12      -1.060742149733e-14 
   82       2.873455976785e-10       6.620818373408e-14      -1.558267772844e-12       2.864843370815e-16       1.791846351083e-11       2.322775056567e-12      -1.082375422298e-14 
   83       2.908957067199e-10       6.821968503008e-14      -1.633980385859e-12       2.935515925684e-16       1.738785397424e-11       2.264725889320e-12      -1.099877593709e-14 
   84       2.944752629470e-10       7.024030877346e-14      -1.710690541738e-12       3.007071518896e-16       1.687591825696e-11       2.208629954997e-12      -1.111693000405e-14 
   85       2.980847627297e-10       7.226855821326e-14      -1.788360894476e-12       3.079510348274e-16       1.638233028183e-11       2.154450161597e-12      -1.117688776419e-14 
   86       3.017248796663e-10       7.430316959385e-14      -1.866962327039e-12       3.152832712773e-16       1.590706240622e-11       2.102183197763e-12      -1.118144681452e-14 
   87       3.053960772582e-10       7.634287932767e-14      -1.946466430808e-12       3.227038864755e-16       1.544987308059e-11       2.051801905048e-12      -1.113394417183e-14 
   88       3.090985976915e-10       7.838642540981e-14      -2.026845586616e-12       3.302129008546e-16       1.501029798036e-11       2.003254284322e-12      -1.103827433738e-14 
   89       3.128324506186e-10       8.043254883256e-14      -2.108073045797e-12       3.378103299002e-16       1.458764113789e-11       1.956462502174e-12      -1.089890736165e-14 
   90       3.165974019405e-10       8.247999500005e-14      -2.190123011224e-12       3.454961840067e-16       1.418096607437e-11       1.911321897319e-12      -1.072090690902e-14 
   91       3.203929625885e-10       8.452751514282e-14      -2.272970718356e-12       3.532704683341e-16       1.378908693175e-11       1.867699987003e-12      -1.050994832251e-14 
   92       3.242183773060e-10       8.657386773244e-14      -2.356592516277e-12       3.611331826639e-16       1.341055960468e-11       1.825435473406e-12      -1.027233668847e-14 
   93       3.280728925016e-10       8.861771153491e-14      -2.440957845140e-12       3.690844380004e-16       1.304402439779e-11       1.784377548545e-12      -1.001430856356e-14 
   94       3.319566302579e-10       9.065726329900e-14      -2.526003612225e-12       3.771248267468e-16       1.268931221131e-11       1.744512729224e-12      -9.739777785312e-15 
   95       3.358698256437e-10       9.269059096008e-14      -2.611656093948e-12       3.852551081971e-16       1.234648910381e-11       1.705855349772e-12      -9.452282453634e-15 
   96       3.398125520677e-10       9.471571734215e-14      -2.697838666286e-12       3.934760981906e-16       1.201551560217e-11       1.668408528736e-12      -9.155679181647e-15 
   97       3.437847138905e-10       9.673062008497e-14      -2.784471774584e-12       4.017886705712e-16       1.169624265881e-11       1.632163728456e-12      -8.854151327349e-15 
   98       3.477860390375e-10       9.873323157116e-14      -2.871472903361e-12       4.101937586460e-16       1.138840760900e-11       1.597100314642e-12      -8.552217225275e-15 
   99       3.518160716118e-10       1.007214388534e-13      -2.958756546119e-12       4.186923566439e-16       1.109163012806e-11       1.563185115946e-12      -8.254738418160e-15 
  100       3.558741645061e-10       1.026930835815e-13      -3.046234175144e-12       4.272855211745e-16       1.080540818867e-11       1.530371983546e-12      -7.966927888601e-15 
  101       3.599594720161e-10       1.046459619296e-13      -3.133814211315e-12       4.359743726873e-16       1.052911401807e-11       1.498601350713e-12      -7.694358290724e-15 
  102       3.640709424525e-10       1.065778245234e-13      -3.221401993912e-12       4.447600969297e-16       1.026199005535e-11       1.467799792392e-12      -7.442970181837e-15 
  103       3.682073107543e-10       1.084863763668e-13      -3.308899750419e-12       4.536439464064e-16       1.000314490871e-11       1.437879584779e-12      -7.219080254102e-15 
  104       3.723673660696e-10       1.103693854714e-13      -3.396213132572e-12       4.626271105252e-16       9.751755435001e-12       1.408759143648e-12      -7.027902196188e-15 
  105       3.765508115780e-10       1.122250256099e-13      -3.483271895090e-12       4.717103029154e-16       9.507712775097e-12       1.380428432306e-12      -6.868863988778e-15 
  106       3.807575075863e-10       1.140515799436e-13      -3.570011967053e-12       4.808941208224e-16       9.271056457936e-12       1.352891609361e-12      -6.739670445337e-15 
  107       3.849872026189e-10       1.158473375628e-13      -3.656369176564e-12       4.901791714573e-16       9.041774315063e-12       1.326146730530e-12      -6.637726079750e-15 
  108       3.892395290519e-10       1.176105946088e-13      -3.742279292711e-12       4.995660720137e-16       8.819800702974e-12       1.300185537659e-12      -6.560126993263e-15 
  109       3.935139987471e-10       1.193396553957e-13      -3.827678067530e-12       5.090554496825e-16       8.605014725446e-12       1.274993247729e-12      -6.503652761415e-15 
  110       3.978099986869e-10       1.210328335318e-13      -3.912501277964e-12       5.186479416684e-16       8.397238455875e-12       1.250548341874e-12      -6.464758320980e-15 
  111       4.021267866080e-10       1.226884530415e-13      -3.996684767834e-12       5.283441952054e-16       8.196235159613e-12       1.226822354389e-12      -6.439565856898e-15 
  112       4.064634866360e-10       1.243048494867e-13      -4.080164489791e-12       5.381448675725e-16       8.001707516301e-12       1.203779661747e-12      -6.423856689219e-15 
  113       4.108190849193e-10       1.258803710888e-13      -4.162876547288e-12       5.480506261097e-16       7.813295842211e-12       1.181377271612e-12      -6.413063160034e-15 
  114       4.151924252639e-10       1.274133798500e-13      -4.244757236537e-12       5.580621482336e-16       7.630576312575e-12       1.159564611846e-12      -6.402260520416e-15 
  115       4.195822047672e-10       1.289022526752e-13      -4.325743088474e-12       5.681801214534e-16       7.453059183927e-12       1.138283319529e-12      -6.386158817355e-15 
  116       4.239871571020e-10       1.303454104912e-13      -4.405769369085e-12       5.784052444863e-16       7.280296172990e-12       1.117480527027e-12      -6.360193531476e-15 
  117       4.284066369820e-10       1.317414072230e-13      -4.484765283833e-12       5.887382307246e-16       7.112221204757e-12       1.097151003845e-12      -6.323965268158e-15 
  118       4.328400988888e-10       1.330888537921e-13      -4.562658266264e-12       5.991798052219e-16       6.948847947603e-12       1.077299766077e-12      -6.278204979511e-15 
  119       4.372869131037e-10       1.343863924412e-13      -4.639375495499e-12       6.097307036558e-16       6.790163559964e-12       1.057928947143e-12      -6.223714217616e-15 
  120       4.417463630006e-10       1.356326981029e-13      -4.714843924562e-12       6.203916723543e-16       6.636127877804e-12       1.039037706145e-12      -6.161366736317e-15 
  121       4.462176423400e-10       1.368264797697e-13      -4.788990308717e-12       6.311634683204e-16       6.486672602085e-12       1.020622136210e-12      -6.092110093021e-15 
  122       4.506998525622e-10       1.379664818624e-13      -4.861741233796e-12       6.420468592581e-16       6.341700486239e-12       1.002675172846e-12      -6.016967250498e-15 
  123       4.551920000805e-10       1.390514856000e-13      -4.933023144530e-12       6.530426235979e-16       6.201084523632e-12       9.851865022904e-13      -5.937038178677e-15 
  124       4.596929935750e-10       1.400803103684e-13      -5.002762372886e-12       6.641515505221e-16       6.064667135037e-12       9.681424698576e-13      -5.853501456443e-15 
  125       4.642016412857e-10       1.410518150900e-13      -5.070885166394e-12       6.753744399907e-16       5.932259356101e-12       9.515259882928e-13      -5.767615873440e-15 
  126       4.687166483061e-10       1.419648995924e-13      -5.137317716481e-12       6.867121027663e-16       5.803640024817e-12       9.353164461203e-13      -5.680722031861e-15 
  127       4.732366138764e-10       1.428185059782e-13      -5.201986186803e-12       6.981653604403e-16       5.678554968990e-12       9.194896159943e-13      -5.594243948255e-15 
  128       4.777600286772e-10       1.436116199938e-13      -5.264816741577e-12       7.097350454579e-16       5.556716193708e-12       9.040175630486e-13      -5.509690655320e-15 
  129       4.822854315892e-10       1.443433172547e-13      -5.325736923378e-12       7.214220156087e-16       5.437863781419e-12       8.888748680665e-13      -5.428354229659e-15 
  130       4.868119051640e-10       1.450129047466e-13      -5.384679897249e-12       7.332271992412e-16       5.321960995529e-12       8.740582635227e-13      -5.350363018870e-15 
  131       4.913386296453e-10       1.456197975066e-13      -5.441580727884e-12       7.451515550792e-16       5.209019144027e-12       8.595689884672e-13      -5.275527095902e-15 
  132       4.958647268248e-10       1.461634768326e-13      -5.496375109514e-12       7.571960583301e-16       5.099036425232e-12       8.454066207921e-13      -5.203631958092e-15 
