# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       2.338113359664e+00       8.392184865808e+03       1.165018130979e+00       4.957314403571e-06       9.894790229806e-01       4.905158612653e-06       3.344870347933e+00       8.038493368660e-13       3.717926872913e-05 
       2.399574702640e+00       8.315437192062e+03       1.164801422632e+00       5.140586693685e-06       9.890956294704e-01       5.084531831637e-06       3.444347710550e+00       8.253983060622e-13       3.913381252711e-05 
       2.462477867156e+00       8.238903908381e+03       1.164518694030e+00       5.331287388704e-06       9.886993040427e-01       5.271040130864e-06       3.546490556085e+00       8.473251642711e-13       4.119239428910e-05 
       2.526929883176e+00       8.162514127424e+03       1.164147901987e+00       5.529850993638e-06       9.882891844906e-01       5.465091928857e-06       3.651431254329e+00       8.696270167932e-13       4.336305309447e-05 
       2.593071853266e+00       8.086167559273e+03       1.163658948050e+00       5.736792416820e-06       9.878641735952e-01       5.667171699929e-06       3.759350405405e+00       8.923036997399e-13       4.565553627298e-05 
       2.661093285369e+00       8.009723267155e+03       1.163010434770e+00       5.952738693615e-06       9.874228398830e-01       5.877870145930e-06       3.870498920292e+00       9.153593938473e-13       4.808199681596e-05 
       2.731252980726e+00       7.932983704077e+03       1.162144969896e+00       6.178475306201e-06       9.869632721986e-01       6.097928205406e-06       3.985230112084e+00       9.388047213039e-13       5.065803049071e-05 
       2.803909459226e+00       7.855672201168e+03       1.160982314932e+00       6.415013349546e-06       9.864828667873e-01       6.328300759539e-06       4.104046111685e+00       9.626592184148e-13       5.340422299515e-05 
       2.879564492095e+00       7.777402213393e+03       1.159409393157e+00       6.663683840870e-06       9.859780211104e-01       6.570245806726e-06       4.227663405846e+00       9.869535354710e-13       5.634843380975e-05 
       2.958921264818e+00       7.697639611146e+03       1.157266096363e+00       6.926256597601e-06       9.854437223165e-01       6.825436083259e-06       4.357098102605e+00       1.011729111170e-12       5.952900514353e-05 
       3.042944663894e+00       7.615673460134e+03       1.154327246707e+00       7.205036061003e-06       9.848731158441e-01       7.096046315169e-06       4.493747364413e+00       1.037029143286e-12       6.299853187647e-05 
       3.132856294732e+00       7.530659409452e+03       1.150289114984e+00       7.502728600286e-06       9.842575255023e-01       7.384617086632e-06       4.639353498398e+00       1.062868740751e-12       6.682536377735e-05 
       3.229856877367e+00       7.441909705998e+03       1.144797745515e+00       7.821530236493e-06       9.835883907142e-01       7.693166338235e-06       4.795516535047e+00       1.089174044618e-12       7.108309255180e-05 
       3.334267136052e+00       7.349638162579e+03       1.137611387026e+00       8.160878234311e-06       9.828633370533e-01       8.021028014661e-06       4.962287492812e+00       1.115702149958e-12       7.581127065615e-05 
       3.444385789016e+00       7.255776506075e+03       1.128945286358e+00       8.515458029743e-06       9.820943300945e-01       8.362983049168e-06       5.136400797650e+00       1.141981878209e-12       8.095569276961e-05 
       3.556661436257e+00       7.163517880651e+03       1.119676160992e+00       8.877640863163e-06       9.813065523912e-01       8.711687148797e-06       5.311724350742e+00       1.167383498953e-12       8.636341113579e-05 
       3.667717911589e+00       7.075483332206e+03       1.110948178312e+00       9.243035539407e-06       9.805239829555e-01       9.063018021698e-06       5.482604034553e+00       1.191376052679e-12       9.187288811375e-05 
