# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       1.384763419441e+00       9.907742931703e+03       1.165787692750e+00       2.531755058609e-06       9.948719014627e-01       2.518771969196e-06       1.886121069151e+00       4.705059397320e-13       1.375912754212e-05 
       1.426212601475e+00       9.825761488670e+03       1.165784531037e+00       2.620520817405e-06       9.946617873266e-01       2.606531919967e-06       1.944747620778e+00       4.844412748632e-13       1.451974062649e-05 
       1.468525853274e+00       9.743927806697e+03       1.165780714927e+00       2.712712973102e-06       9.944447319318e-01       2.697643125345e-06       2.005170803753e+00       4.987605397471e-13       1.531933471743e-05 
       1.511719386683e+00       9.662263635724e+03       1.165776093144e+00       2.808464883556e-06       9.942205424030e-01       2.792233479849e-06       2.067430812703e+00       5.134689835539e-13       1.615982519977e-05 
       1.555809715377e+00       9.580790004295e+03       1.165770475997e+00       2.907914970510e-06       9.939890209991e-01       2.890435554686e-06       2.131567535563e+00       5.285714393703e-13       1.704321941407e-05 
       1.600813698355e+00       9.499527141684e+03       1.165763624796e+00       3.011206958752e-06       9.937499647643e-01       2.992386809158e-06       2.197620479109e+00       5.440722765613e-13       1.797162190812e-05 
       1.646748593113e+00       9.418494399690e+03       1.165755238108e+00       3.118490138164e-06       9.935031651244e-01       3.098229822675e-06       2.265628698463e+00       5.599753519325e-13       1.894724018875e-05 
       1.693632125155e+00       9.337710155881e+03       1.165744933877e+00       3.229919662496e-06       9.932484073667e-01       3.208112560696e-06       2.335630740535e+00       5.762839579300e-13       1.997239127883e-05 
       1.741482575760e+00       9.257191708495e+03       1.165732226057e+00       3.345656887500e-06       9.929854700142e-01       3.322188676941e-06       2.407664603678e+00       5.930007707517e-13       2.104950910471e-05 
       1.790318897725e+00       9.176955141223e+03       1.165716493962e+00       3.465869768471e-06       9.927141240053e-01       3.440617871124e-06       2.481767728556e+00       6.101277969795e-13       2.218115317078e-05 
       1.840160865711e+00       9.097015163578e+03       1.165696941904e+00       3.590733329135e-06       9.924341316636e-01       3.563566313536e-06       2.557977030003e+00       6.276663223849e-13       2.337001871621e-05 
       1.891029276429e+00       9.017384901287e+03       1.165672545830e+00       3.720430233153e-06       9.921452453302e-01       3.691207166405e-06       2.636328993890e+00       6.456168628708e-13       2.461894906399e-05 
       1.942946214717e+00       8.938075631841e+03       1.165641982468e+00       3.855151489744e-06       9.918472055783e-01       3.823721232184e-06       2.716859863997e+00       6.639791220789e-13       2.593095074953e-05 
       1.995935411508e+00       8.859096434159e+03       1.165603534863e+00       3.995097346934e-06       9.915397388164e-01       3.961297779925e-06       2.799605960410e+00       6.827519587760e-13       2.730921261153e-05 
       2.050022728238e+00       8.780453726623e+03       1.165554965852e+00       4.140478443731e-06       9.912225540618e-01       4.104135618033e-06       2.884604184468e+00       7.019333697851e-13       2.875713027934e-05 
       2.105236815926e+00       8.702150651128e+03       1.165493347835e+00       4.291517321957e-06       9.908953385574e-01       4.252444509666e-06       2.971892787496e+00       7.215204976202e-13       3.027833820868e-05 
